Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
1880,-0.73,-0.33,-0.4,-0.58,-0.28,-0.4,-0.4,0.15,-0.41,-0.59,-0.43,-0.45,-0.404166667
1881,-0.72,-0.54,-0.29,-0.17,0.06,-1.02,-0.45,-0.17,-0.26,-0.4,-0.45,-0.06,-0.3725
1882,0.18,-0.05,-0.02,-0.53,-0.32,-0.96,-0.65,-0.04,-0.01,-0.24,-0.33,-0.61,-0.298333333
1883,-0.62,-0.88,-0.39,-0.25,-0.29,0.52,0.05,-0.08,-0.38,-0.48,-0.62,-0.32,-0.311666667
1884,-0.53,-0.27,-0.33,-0.86,-1.12,-0.75,-0.78,0.23,-0.29,-0.69,-0.74,-0.92,-0.5875
1885,-0.86,-0.73,-0.85,-0.8,-0.43,-0.87,-0.56,-0.09,-0.08,0.04,-0.31,0.08,-0.455
1886,-0.7,-0.76,-0.62,-0.56,-0.48,-0.75,-0.33,-0.66,-0.36,-0.79,-0.43,-0.69,-0.594166667
1887,-0.81,-1.21,-0.53,-0.78,-0.8,-0.61,-0.35,-0.18,-0.55,-0.49,-0.85,-0.59,-0.645833333
1888,-0.71,-0.78,-0.87,-0.27,-0.73,-0.51,-0.32,-0.3,-0.37,-0.25,-0.04,-0.15,-0.441666667
1889,-0.26,0.2,0.1,0.17,0.14,-0.27,-0.37,-0.56,-0.34,-0.15,-0.4,-0.37,-0.175833333
1890,-0.57,-0.59,-0.57,-0.47,-0.87,-0.54,-0.52,-0.53,-0.29,-0.23,-0.74,-0.5,-0.535
1891,-0.91,-1.01,-0.48,-0.62,-0.45,-0.53,-0.67,-0.54,-0.44,-0.5,-0.48,0.08,-0.545833333
1892,-0.61,-0.29,-0.57,-0.68,-0.62,-0.52,-0.36,-0.23,-0.45,-0.32,-0.6,-0.59,-0.486666667
1893,-1.41,-0.99,-0.58,-0.64,-0.71,-0.64,-0.09,-0.31,-0.21,-0.04,-0.1,-0.35,-0.505833333
1894,-0.75,-0.6,-0.39,-0.62,-0.64,-0.46,-0.37,-0.3,-0.39,-0.06,-0.13,-0.15,-0.405
1895,-0.67,-0.75,-0.48,-0.43,-0.28,-0.26,-0.5,-0.16,-0.11,-0.07,-0.14,-0.07,-0.326666667
1896,-0.21,-0.27,-0.5,-0.44,-0.4,-0.43,-0.17,-0.34,-0.07,0.01,-0.41,-0.18,-0.284166667
1897,-0.23,-0.46,-0.27,-0.09,-0.23,-0.15,-0.08,-0.28,-0.11,-0.18,0.02,-0.2,-0.188333333
1898,-0.11,-0.43,-0.79,-0.56,-0.62,-0.28,-0.33,-0.2,0.02,-0.37,-0.47,-0.19,-0.360833333
